term_en,term_vi,abbr,definition,topics,confused_with
Contrastive Learning,Học tương phản,,Học bằng cách kéo các cặp đúng lại gần nhau và đẩy các cặp sai ra xa trong không gian nhúng.,Transformer/CLIP,
Convolution,Phép tích chập,,"Phép trượt một Kernel qua ảnh, tại mỗi vị trí nhân từng phần tử rồi cộng dồn để cho ra một giá trị.",CNN,
Convolutional Neural Network,Mạng nơ-ron tích chập,CNN,"Mạng chuyên xử lý dữ liệu dạng lưới như ảnh, dùng phép tích chập để mỗi nơ-ron chỉ nhìn một vùng cục bộ và chia sẻ trọng số giữa các vùng.",CNN,
Cosine Similarity,Độ tương đồng cosine,,"Đo độ giống nhau giữa hai vectơ bằng góc giữa chúng, bỏ qua độ dài. CLIP dùng phép này để so khớp vectơ ảnh với vectơ văn bản.",Toán; Transformer/CLIP,
Counterfactual Explanation,Giải thích phản thực,,Lời giải thích dạng 'nếu đầu vào khác đi thì quyết định sẽ đổi'. Mô tả thay đổi NHỎ NHẤT đủ để lật kết quả. Ưu điểm: không làm lộ cơ chế bên trong.,XAI,
Data Annotation,Gán nhãn dữ liệu,,"Quá trình con người gán nhãn cho dữ liệu thô. Với CBM, phải gán cả nhãn lớp lẫn nhãn khái niệm nên chi phí rất lớn.",CBM; ML cơ bản,
Data Augmentation,Tăng cường dữ liệu,,"Sinh thêm mẫu huấn luyện bằng cách biến đổi ảnh gốc (lật, xoay, cắt, đổi màu). Cần thiết vì CNN chỉ bất biến với dịch chuyển nhỏ, không tự bất biến với xoay hay co giãn.",Deep Learning; CNN,"Denoising Autoencoder — cũng làm hỏng đầu vào, nhưng mục tiêu là học biểu diễn bền vững chứ không phải tăng số lượng mẫu"
Decision Accuracy,Độ chính xác của quyết định,,Phán đoán của hệ thống đúng hay sai. Đây là thứ các chỉ số accuracy/F1 thông thường đang đo.,XAI; ML cơ bản,Explanation Accuracy — nhầm hai cái này là lỗi cơ bản nhất khi viết bài về XAI.
Decoder,Bộ giải mã,,"Phần sau của Autoencoder, nhận vectơ nén từ Bottleneck và tái tạo lại dữ liệu có kích thước bằng đúng đầu vào ban đầu.",Autoencoder,
Denoising Autoencoder,Autoencoder khử nhiễu,DAE,"Nhận đầu vào đã bị thêm nhiễu nhưng phải tái tạo bản gốc sạch, buộc mô hình học bản chất dữ liệu thay vì học thuộc lòng.",Autoencoder,
Determinant,Định thức,det,Một số cho biết phép biến đổi của Matrix làm không gian giãn ra hay co lại bao nhiêu lần. det = 0 nghĩa là không gian bị sụp đổ về số chiều thấp hơn.,Toán,
Dimensionality Reduction,Giảm chiều dữ liệu,,"Biến dữ liệu nhiều chiều thành ít chiều hơn mà vẫn giữ thông tin quan trọng. Autoencoder làm việc này theo cách phi tuyến, tốt hơn PCA.",Autoencoder; ML cơ bản,
Disentangled Representation,Biểu diễn phân tách,,"Biểu diễn mà mỗi chiều latent mang một ý nghĩa độc lập, dễ hiểu với con người. Đây là cầu nối quan trọng giữa VAE và hướng nghiên cứu CBM không cần nhãn.",Autoencoder; XAI,
Dropout,Ngắt ngẫu nhiên nơ-ron,,"Trong lúc huấn luyện, ngẫu nhiên tắt một tỉ lệ nơ-ron (thường 0.5) để mạng không phụ thuộc vào vài nơ-ron nhất định. Tự động tắt khi đánh giá. Là một dạng Regularization.",Deep Learning; ML cơ bản,"Sparse Autoencoder — cũng làm ít nơ-ron hoạt động, nhưng bằng số hạng phạt trong Loss chứ không phải tắt ngẫu nhiên"
Dunning-Kruger Effect,Hiệu ứng Dunning-Kruger,,"Hầu hết mọi người, kể cả chuyên gia, ước lượng sai năng lực của chính mình. Trong NIST IR 8312, đây là bằng chứng cho thấy con người cũng không đạt nguyên tắc Knowledge Limits.",XAI,
Eigenvalue,Trị riêng,,Hệ số cho biết vectơ riêng bị kéo giãn (hoặc nén) bao nhiêu lần sau phép biến đổi. Dùng để tìm ra các thành phần cốt lõi ẩn trong dữ liệu.,Toán,Eigenvector
Eigenvector,Vectơ riêng,,"Hướng đặc biệt mà khi không gian bị biến đổi, vectơ nằm trên hướng đó chỉ bị kéo giãn hoặc nén lại chứ không bị chệch hướng.",Toán,"Eigenvalue — eigenvector là hướng, eigenvalue là hệ số kéo giãn trên hướng đó."
Embedding,Vectơ nhúng,,"Biểu diễn một đối tượng (từ, ảnh, khái niệm) dưới dạng vectơ số thực, sao cho các đối tượng giống nhau nằm gần nhau.",Transformer/CLIP; Deep Learning,
Encoder,Bộ mã hóa,,"Phần đầu của Autoencoder, nén dữ liệu đầu vào lớn thành một vectơ nhỏ gọn nhưng vẫn giữ nét đặc trưng chính.",Autoencoder,
Epoch,Vòng lặp toàn tập,,Một lần toàn bộ tập dữ liệu huấn luyện đi qua mạng.,ML cơ bản,"Iteration — một epoch gồm nhiều iteration, mỗi iteration xử lý một batch."
Evidence Lower Bound,Cận dưới của bằng chứng,ELBO,Hàm mục tiêu của VAE: Reconstruction Loss trừ đi KL Divergence. Gọi là cận dưới vì nó chặn dưới log-likelihood thật (thứ không tính được). Huấn luyện VAE = cực đại hóa ELBO.,Autoencoder; Toán,
Explainability,Khả năng giải thích,,"Khả năng đưa ra lời giải thích cho MỘT QUYẾT ĐỊNH CỤ THỂ, kể cả khi bên trong mô hình vẫn là hộp đen.",XAI,Interpretability
Explainable AI,AI có khả năng giải thích,XAI,Lĩnh vực nghiên cứu các phương pháp giúp con người hiểu được tại sao một mô hình AI đưa ra một dự đoán cụ thể.,XAI,
Explanation (Principle 1),Nguyên tắc Có lời giải thích,,Nguyên tắc 1 của NIST: hệ thống phải cung cấp bằng chứng hoặc lý do kèm theo đầu ra. Độc lập với việc lời giải thích có đúng hay dễ hiểu hay không — chỉ đòi hỏi nó TỒN TẠI.,XAI,
Explanation Accuracy (Principle 3),Độ chính xác của lời giải thích,EA,Nguyên tắc 3 của NIST: lời giải thích phải phản ánh ĐÚNG lý do/quy trình thực sự mà hệ thống dùng để ra kết quả.,XAI,Decision Accuracy — cặp này HOÀN TOÀN ĐỘC LẬP: mô hình dự đoán đúng vẫn có thể giải thích sai.
F1-Score,Điểm F1,,"Trung bình điều hòa của Precision và Recall. Chỉ cao khi cả hai cùng cao, nên phản ánh khách quan hơn Accuracy.",ML cơ bản,
Fairwashing,Tẩy trắng công bằng,,"Tấn công đối kháng: sinh ra các mô hình dễ hiểu xấp xỉ hộp đen nhưng TRÔNG CÔNG BẰNG HƠN thực tế, qua đó che giấu sự bất công của mô hình gốc.",XAI,
Faithfulness,Độ trung thực,,Lời giải thích có phản ánh ĐÚNG quá trình mô hình thực sự dùng để quyết định hay không.,XAI,Plausibility — hai tiêu chí này có thể đối lập nhau.
Feature Map,Bản đồ đặc trưng,,"Kết quả đầu ra sau khi một filter quét hết ảnh, cho biết đặc trưng đó xuất hiện mạnh ở đâu trên ảnh.",CNN,
Feature Vector,Vector đặc trưng,,"Vector biểu diễn lấy từ lớp áp chót (penultimate layer) của một mạng phân loại, trước khi đưa vào lớp quyết định cuối. Đây chính là thứ được dùng khi nói trích xuất đặc trưng từ CNN.",Deep Learning; CNN,Feature Map — là tensor 3 chiều còn giữ cấu trúc không gian; feature vector đã bị duỗi phẳng
Fidelity,Độ trung thành,,Mức độ lời giải thích hậu kỳ phản ánh trung thực hành vi của mô hình gốc. Là cách vận hành hóa cụ thể của Explanation Accuracy trong đo lường.,XAI,"Faithfulness — gần nghĩa, thường dùng thay nhau; fidelity hay dùng cho mô hình thay thế (surrogate)."
Flatten,Làm phẳng,,"Duỗi một tensor nhiều chiều (ví dụ 4x4x128) thành vector 1 chiều (2048) để đưa vào lớp Fully Connected. Không có tham số, nhưng vứt bỏ hoàn toàn cấu trúc không gian.",CNN; Deep Learning,"Global Average Pooling — cùng mục đích chuyển sang FC nhưng lấy trung bình mỗi kênh thay vì duỗi hết, nên gọn hơn nhiều"
Foundation Model,Mô hình nền tảng,,"Mô hình lớn huấn luyện trên lượng dữ liệu khổng lồ, dùng làm nền cho nhiều tác vụ hạ nguồn khác nhau. CLIP, GPT, ViT quy mô lớn đều thuộc nhóm này.",Transformer/CLIP; Deep Learning,
Frobenius Norm,Chuẩn Frobenius,,Cách đo độ lớn của một ma trận bằng căn bậc hai tổng bình phương mọi phần tử.,Toán; Autoencoder,
Fully Connected Layer,Lớp kết nối đầy đủ,FC / Dense,Lớp mà mỗi nơ-ron nối với toàn bộ nơ-ron lớp trước. Đặt ở cuối CNN để tổng hợp đặc trưng và đưa ra quyết định.,CNN,
Generative Model,Mô hình sinh,,Mô hình học được phân phối của dữ liệu nên có thể tạo ra mẫu mới chưa từng có. VAE là một ví dụ; Autoencoder thường thì không phải.,Autoencoder,
Global Average Pooling,Gộp trung bình toàn cục,GAP,"Lấy trung bình toàn bộ mỗi kênh của Feature Map, biến HxWxC thành đúng C số. Thay thế hiện đại cho Flatten + FC lớn, cắt được phần lớn tham số và là cơ chế giúp Grad-CAM hoạt động.",CNN; XAI,"Max Pooling 2x2 — chỉ giảm một nửa kích thước, còn GAP nén cả kênh về một số duy nhất"
Grad-CAM,Grad-CAM,,Dùng gradient tại lớp tích chập cuối để tạo heatmap chỉ vùng ảnh mô hình nhìn vào. Chỉ trả lời được 'ở đâu' chứ không phải 'cái gì'.,XAI; CNN,
Gradient,Gradient (vectơ đạo hàm),,Vectơ chỉ hướng hàm số tăng nhanh nhất. Huấn luyện mạng nơ-ron chính là đi ngược hướng gradient của hàm Loss để giảm sai số.,Toán; Deep Learning,
Ground Truth,Nhãn chuẩn / Sự thật nền,,Giá trị đúng được coi là chuẩn để đối chiếu kết quả mô hình. Vấn đề lớn của XAI: không có ground truth cho lời giải thích — không ai biết lời giải thích đúng tuyệt đối trông như thế nào.,ML cơ bản; XAI,
Human Simulatability,Khả năng con người mô phỏng,,"Khả năng con người hiểu mô hình đủ để TỰ dự đoán đúng đầu ra của nó. Là cách đo chính cho nguyên tắc Meaningful. Đo bằng độ chính xác, thời gian, và đánh giá chủ quan.",XAI,
Identity Function,Hàm đồng nhất,,"Hàm trả về đúng đầu vào. Nếu Bottleneck quá lớn, Autoencoder sẽ học hàm này - tức chỉ sao chép dữ liệu mà không học được quy luật nào.",Autoencoder,
Independent Bottleneck,Huấn luyện độc lập,,"Hai mạng (x-c và c-y) huấn luyện hoàn toàn tách biệt. Mạng dự đoán nhãn học trên nhãn khái niệm chuẩn, không biết gì về lỗi của mạng trước.",CBM,
Inductive Bias,Định kiến quy nạp,,"Những giả định được cài sẵn vào kiến trúc mô hình. CNN có inductive bias mạnh (tính cục bộ), ViT có bias yếu nên cần nhiều dữ liệu hơn.",CNN; Transformer/CLIP,
Influence Functions,Hàm ảnh hưởng,,Phương pháp giải thích cục bộ: ước lượng điểm dữ liệu HUẤN LUYỆN nào ảnh hưởng nhiều nhất đến một quyết định cụ thể. Khác các phương pháp khác ở chỗ nó quy trách nhiệm cho dữ liệu chứ không phải đặc trưng.,XAI,
Input Invariance,Bất biến với đầu vào,,Tính chất mà một phương pháp giải thích tốt phải có: thay đổi nhỏ không đáng kể ở đầu vào không được làm lời giải thích đảo lộn. Nhiều phương pháp saliency KHÔNG đạt tính này.,XAI,
Interpolation,Nội suy,,Lấy các điểm nằm giữa hai điểm trong Latent Space rồi giải mã. Ở VAE cho kết quả chuyển đổi mượt và có nghĩa; ở AE thường ra nhiễu.,Autoencoder,
Interpretability,Tính dễ hiểu (nội tại),,"Mức độ mà con người hiểu được CƠ CHẾ NỘI TẠI của mô hình, ví dụ đọc được toàn bộ luồng suy luận của một cây quyết định.",XAI,"Explainability — interpretability nói về bên trong mô hình, explainability nói về lời giải thích cho từng quyết định. Rất hay bị dùng lẫn."
Intervention Curve,Đường cong can thiệp,,Đồ thị thể hiện độ chính xác tăng ra sao khi sửa đúng dần từng khái niệm. Đường dốc lên là dấu hiệu tốt; đường phẳng báo hiệu concept leakage.,CBM; XAI,
Intrinsic (Ante-hoc) Interpretability,Giải thích nội tại,,"Tính giải thích được thiết kế sẵn vào kiến trúc mô hình, nên lời giải thích chính là đường đi thật của dữ liệu. CBM thuộc nhóm này.",XAI; CBM,Post-hoc
Introspection Illusion,Ảo tưởng nội quan,,Hiện tượng tâm lý: con người tin rằng nhìn vào nội tâm sẽ biết được lý do thật cho quyết định của mình — nhưng niềm tin đó sai lầm.,XAI,
Jacobian,Ma trận Jacobian,,Ma trận chứa toàn bộ đạo hàm riêng của một hàm nhiều đầu vào - nhiều đầu ra. Contractive Autoencoder phạt chuẩn Frobenius của Jacobian để Latent Space ổn định.,Toán; Autoencoder,
Joint Bottleneck,Huấn luyện đồng thời,,Cả hai mô đun huấn luyện cùng lúc với Loss = Loss_y + lambda * Loss_c. Linh hoạt nhất nhưng dễ gây concept leakage nếu lambda quá nhỏ.,CBM,
Kernel / Filter,Bộ lọc,,"Ma trận trọng số nhỏ (ví dụ 3x3) trượt qua ảnh. Mỗi filter học nhận diện một loại đặc trưng: cạnh dọc, cạnh ngang, màu sắc, họa tiết.",CNN,
KL Divergence,Độ phân kỳ KL,KL,"Thước đo độ lệch giữa hai phân phối xác suất. Trong VAE, nó ép phân phối latent tiến gần phân phối chuẩn N(0,1); trong Sparse Autoencoder nó ép nơ-ron thưa.",Toán; Autoencoder,"Không đối xứng: KL(P||Q) khác KL(Q||P), nên không phải là khoảng cách theo nghĩa toán học."
Knowledge Limits (Principle 4),Giới hạn tri thức,,"Nguyên tắc 4 của NIST: hệ thống chỉ hoạt động trong điều kiện nó được thiết kế và khi đủ tự tin. Hai con đường chạm giới hạn: nằm ngoài miền hoạt động, và độ tin cậy quá thấp. CBM gốc không đề cập nguyên tắc này.",XAI; CBM,
Label Predictor,Mạng dự đoán nhãn,,"Mô đun sau của CBM, nhận vectơ khái niệm và đưa ra nhãn phân loại cuối cùng. Thường chỉ là một lớp tuyến tính đơn giản để giữ tính minh bạch.",CBM,
Latent Diffusion Model,Mô hình khuếch tán trong không gian tiềm ẩn,LDM,"Biến thể Diffusion thực hiện quá trình khuếch tán TRONG latent space thay vì trên pixel, nhờ đó nhẹ hơn rất nhiều. Đây là nền của Stable Diffusion — và là ví dụ cho thấy latent space không chỉ dùng cho Autoencoder.",Deep Learning,"VAE — LDM thực ra DÙNG một VAE để đi vào và ra khỏi latent space, rồi mới chạy diffusion ở giữa"
Latent Factor,Yếu tố tiềm ẩn,,"Những yếu tố ẩn sinh ra dữ liệu quan sát được — ví dụ với ảnh khuôn mặt thì là tuổi, góc quay, độ dài tóc. Mô hình tự tìm ra chúng mà không ai gán nhãn.",Deep Learning,Concept trong CBM — cũng là yếu tố sinh dữ liệu nhưng được con người đặt tên trước
Latent Representation,Biểu diễn tiềm ẩn,,"Vectơ nén mà Encoder tạo ra, nắm bắt các đặc trưng cốt lõi của dữ liệu ở dạng cô đọng, đã lọc nhiễu và dư thừa.",Autoencoder,
Latent Space,Không gian tiềm ẩn,,Không gian nhiều chiều chứa các biểu diễn nén của dữ liệu. Vectơ tại Bottleneck chính là một điểm trong không gian này.,Autoencoder,
Latent Traversal,Đi dọc một chiều tiềm ẩn,,"Kỹ thuật giữ nguyên toàn bộ vector z và chỉ kéo MỘT chiều từ -3 đến +3, rồi xem ảnh giải mã thay đổi thế nào. Là cách chuẩn để kiểm tra mức độ disentangled của latent space.",Deep Learning; XAI,"Interpolation — đi giữa hai điểm có thật, còn traversal đi dọc theo một trục tọa độ"
Latent Vector / Latent Code,Vector tiềm ẩn / mã tiềm ẩn,z,Một ĐIỂM cụ thể trong Latent Space — tức biểu diễn nén của một mẫu dữ liệu. Thường ký hiệu là z.,Deep Learning; Autoencoder,"Latent Space — là cả không gian, còn latent vector chỉ là một phần tử trong đó"
Learning Rate,Tốc độ học,lr,"Độ lớn của mỗi bước cập nhật trọng số. Quá lớn thì mô hình không hội tụ, quá nhỏ thì học rất chậm.",ML cơ bản,
LIME,LIME,,"Xấp xỉ mô hình phức tạp bằng một mô hình tuyến tính đơn giản quanh một điểm dữ liệu cụ thể, rồi đọc hệ số để biết đặc trưng nào quan trọng.",XAI,
Linear Algebra,Đại số tuyến tính,,"Lĩnh vực toán học đóng gói nhiều đại lượng thành Vector và Matrix để xử lý cùng lúc, thay vì giải hàng nghìn phương trình rời rạc.",Toán,
Linear Transformation,Biến đổi tuyến tính,,"Phép biến đổi đưa một Vector từ vị trí này sang vị trí khác trong cùng không gian, thực hiện bằng phép nhân với Matrix.",Toán,
Local vs Global Explanation,Giải thích cục bộ vs toàn cục,,Local giải thích một dự đoán cụ thể; Global giải thích hành vi tổng thể của mô hình trên toàn bộ dữ liệu.,XAI,
Logits,Điểm số thô (chưa chuẩn hóa),,"Vector số thực do lớp cuối của mạng xuất ra TRƯỚC khi qua Softmax. Có thể âm, không cộng lại thành 1. Khi huấn luyện với CrossEntropyLoss trong PyTorch thì truyền thẳng logits, không tự thêm Softmax.",Deep Learning; ML cơ bản,Xác suất — chỉ có được sau khi áp Softmax lên logits
Loss Function,Hàm mất mát,,Hàm đo mức độ sai lệch giữa dự đoán của mô hình và giá trị mong muốn. Mục tiêu huấn luyện là làm giá trị này nhỏ nhất có thể.,ML cơ bản,
Matrix,Ma trận,,"Bảng số hai chiều đại diện cho một phép biến đổi không gian. Có thể xem Matrix như động từ: nó bóp méo, xoay, kéo giãn hay nén không gian chứa Vector.",Toán,
Mean Absolute Error,Sai số tuyệt đối trung bình,MAE,Trung bình trị tuyệt đối của sai lệch giữa dự đoán và thực tế. Ít nhạy cảm với ngoại lai hơn MSE.,ML cơ bản,
Mean Squared Error,Sai số toàn phương trung bình,MSE,Trung bình bình phương sai lệch. Phạt rất nặng các điểm sai lệch lớn. Là hàm Loss phổ biến cho Autoencoder với dữ liệu liên tục.,ML cơ bản; Autoencoder,
Meaningful (Principle 2),Nguyên tắc Có ý nghĩa,,"Nguyên tắc 2 của NIST: lời giải thích phải dễ hiểu với đúng người tiếp nhận mục tiêu (intended consumer). Phụ thuộc đối tượng, không phải thuộc tính tuyệt đối.",XAI,Explanation Accuracy — hai nguyên tắc này có thể xung đột với nhau.
Model Hyperparameter,Siêu tham số,,"Các giá trị cấu hình do NGƯỜI ĐẶT trước khi huấn luyện, nằm ngoài mô hình và không phụ thuộc dữ liệu. Ví dụ: learning rate, số lớp ẩn, kích thước Bottleneck.",ML cơ bản,Model Parameter
Model Parameter,Tham số mô hình,,"Các giá trị mô hình TỰ HỌC được từ dữ liệu huấn luyện, ví dụ trọng số mạng nơ-ron. Con người không đặt thủ công.",ML cơ bản,"Model Hyperparameter — parameter do máy học, hyperparameter do người đặt."
Model Risk,Rủi ro mô hình,,"Hậu quả tiêu cực từ mô hình không hợp lệ hoặc bị dùng sai (định nghĩa của Cục Dự trữ Liên bang Mỹ). Hai nguồn: lỗi trong mô hình, và dùng mô hình vượt giới hạn tri thức.",XAI,
Model-agnostic,Độc lập với mô hình,,"Phương pháp giải thích dùng được cho bất kỳ mô hình nào, chỉ cần quan sát đầu vào và đầu ra. Ngược lại là model-specific.",XAI,
Multi-Head Attention,Chú ý đa đầu,,"Chạy song song nhiều đầu Attention độc lập, mỗi đầu học một loại quan hệ khác nhau, rồi nối kết quả lại.",Transformer/CLIP,
Out-of-Distribution,Ngoài phân phối,OOD,Dữ liệu khác biệt đáng kể so với phân phối của tập huấn luyện. Mô hình thường hoạt động rất kém trên OOD — liên quan trực tiếp tới nguyên tắc Knowledge Limits.,ML cơ bản; XAI,
Overfitting,Học vẹt / Quá khớp,,Mô hình thuộc lòng dữ liệu huấn luyện nên làm rất tốt trên tập đó nhưng kém trên dữ liệu mới. Bottleneck quá lớn là một nguyên nhân gây overfitting ở Autoencoder.,ML cơ bản,Underfitting
Padding,Viền đệm,,"Thêm pixel (thường giá trị 0) quanh viền ảnh trước khi tích chập, để kiểm soát kích thước đầu ra và không bỏ sót thông tin ở rìa.",CNN,
Partial Dependence Plot,Đồ thị phụ thuộc từng phần,PDP,"Phương pháp giải thích toàn cục: cho thấy dự đoán thay đổi thế nào khi một đặc trưng thay đổi, giúp xác định quan hệ là tuyến tính hay phức tạp.",XAI,
Patch Embedding,Nhúng mảnh ảnh,,"Chia ảnh thành các ô vuông nhỏ (ví dụ 16x16), làm phẳng rồi chiếu tuyến tính thành vectơ. Tên ViT-B/16 chính là chỉ kích thước patch.",Transformer/CLIP,
Peer Review,Bình duyệt đồng nghiệp,,"Quy trình các nhà nghiên cứu khác thẩm định bài báo trước khi đăng. Có thể đọc nội dung bình duyệt của ICLR, NeurIPS, TMLR trên OpenReview — cách nhanh nhất để học đọc phản biện.",ML cơ bản,
Plausibility,Độ hợp lý,,Lời giải thích có THUYẾT PHỤC với con người hay không. Một lời giải thích plausible nhưng không faithful là nguy hiểm nhất vì tạo cảm giác an tâm giả.,XAI,Faithfulness
Pooling,Phép gộp,,"Giảm kích thước không gian của Feature Map. Max Pooling lấy giá trị lớn nhất mỗi vùng, Average Pooling lấy giá trị trung bình.",CNN,
